model,mae,rmse
seasonal_naive_lag_24,1.2778285920057617,2.1287763538836484
store_random_forest,0.8875090025207059,1.3587508634078829
store_lstm_baseline,0.8864391757551612,1.357676055943856
store_lstm_attention,0.9092954068909572,1.405896338169779
store_lstm_attention_reg,0.8877783698607568,1.3757305457936564
